code,code_type,oj_point,sector_description,oj_citation,notes
05.10,nace,1,Mining of hard coal,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
06.10,nace,1,Extraction of crude petroleum,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
07.10,nace,1,Mining of iron ores,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
07.29,nace,1,Mining of other non-ferrous metal ores,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
08.91,nace,1,Mining of chemical and fertiliser minerals,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
08.99,nace,1,Other mining and quarrying n.e.c.,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
10.41,nace,1,Manufacture of oils and fats,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
10.62,nace,1,Manufacture of starches and starch products,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
10.81,nace,1,Manufacture of sugar,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
11.06,nace,1,Manufacture of malt,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
13.10,nace,1,Preparation and spinning of textile fibres,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
13.95,nace,1,"Manufacture of non-wovens and articles made from non-wovens, except apparel","Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
14.11,nace,1,Manufacture of leather clothes,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
16.21,nace,1,Manufacture of veneer sheets and wood-based panels,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
17.11,nace,1,Manufacture of pulp,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
17.12,nace,1,Manufacture of paper and paperboard,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
19.10,nace,1,Manufacture of coke oven products,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
19.20,nace,1,Manufacture of refined petroleum products,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
20.11,nace,1,Manufacture of industrial gases,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
20.12,nace,1,Manufacture of dyes and pigments,"Commission Delegated Decision (EU) 2019/708 of 15 February 2019, OJ L 120, 8.5.2019, p. 20, Annex point 1 (Article 10b(1) quantitative criteria)",
